년,구,동,행정동_코드,"서비스 업종","점포당 연간매출",운영_영업_개월_평균,폐업_영업_개월_평균,폐업률
2021,강남구,개포2동,11680670,분식전문점,343400233.89629626,97,52,5.5556
2021,강남구,개포2동,11680670,일식음식점,345450873.5555556,97,52,0.0000
2021,강남구,개포2동,11680670,제과점,243151092,123,54,0.0000
2021,강남구,개포2동,11680670,중식음식점,217866744,131,63,0.0000
2021,강남구,개포2동,11680670,치킨전문점,10874531.333333334,131,63,0.0000
2021,강남구,개포2동,11680670,커피-음료,115497133.36084658,97,52,1.8889
2021,강남구,개포2동,11680670,패스트푸드점,76676986,97,52,0.0000
2021,강남구,개포2동,11680670,한식음식점,168583736.51595238,97,52,0.0000
2021,강남구,개포2동,11680670,호프-간이주점,89233921.92592593,97,52,0.0000
2021,강남구,개포4동,11680690,분식전문점,40086370.22571429,129,53,1.6667
2021,강남구,개포4동,11680690,양식음식점,84944259.83333333,133,49,0.0000
2021,강남구,개포4동,11680690,일식음식점,390213381.3333333,126,58,0.0000
2021,강남구,개포4동,11680690,제과점,210382732.33333334,126,58,0.0000
2021,강남구,개포4동,11680690,중식음식점,553492196.6666666,120,49,0.0000
2021,강남구,개포4동,11680690,치킨전문점,69931589.84444444,120,49,0.0000
2021,강남구,개포4동,11680690,커피-음료,116664337.80476189,135,49,1.8333
2021,강남구,개포4동,11680690,패스트푸드점,233038247.52380952,134,52,0.0000
2021,강남구,개포4동,11680690,한식음식점,379236417.0894596,126,58,1.6667
2021,강남구,개포4동,11680690,호프-간이주점,131948789.96296294,135,49,11.1111
2021,강남구,논현1동,11680521,분식전문점,109659340.99427961,108,51,5.2778
2021,강남구,논현1동,11680521,양식음식점,100922099.61370556,108,51,0.4286
2021,강남구,논현1동,11680521,일식음식점,292443467.46000004,108,51,1.5714
2021,강남구,논현1동,11680521,제과점,212931038.34343433,124,49,0.0000
2021,강남구,논현1동,11680521,중식음식점,319263951.2312924,108,51,5.8095
2021,강남구,논현1동,11680521,치킨전문점,89176824.96190476,108,51,9.5714
